#log.tsv
date  song
9/16  곰세마리
9/17  섬집 아기
9/18  애국가
9/19  성시경 - 두사람
9/20  moon river
9/21  솜사탕
9/22  푸른 염소
9/23  정용화 - 그리워서 (because I miss you)
9/24  의좋은 형제
9/25  Can't help falling in love with you
9/26  Fly me to the moon
9/27  꽃밭에서 (lavender)
9/28  보고싶다
9/29  에델바이스 + Edelweiss
9/30  moon river + 月亮河
10/1  서른즈음에
10/2  걱정말아요
10/3  Stand by me
10/4  I believe
10/5  반짝 반짝 작은 별
10/6  나는 나비
10/7  거리에서 말고 다른 한국노래 부름?
10/8  I believe
10/9  Let it be
10/10  月亮代表我的心
10/11   Just the two of us
10/13   Hey Jude
10/14   Fix you
10/15  슈퍼스타
10/16  서른즈음에
10/18  너를 보내고
10/19  Canada
10/21  with or without you (대판싸움)
10/23  想见你想见你想见你
10/24  너를 보내고
10/26  사랑two

月饼
善良交际花
花心大夢卜
好我的妈呀
好我的天呀
好累呀
累死了
可怜
浪漫 langman
爱国
眼睛
眼镜
炸酱面
虎狼的词
大师狼
都是因为你
咸猪手
狐狸精

